host,ip,os,connection_test
api-abbyy-lb-1,192.167.1.40,linux,True
api-api-1,192.167.1.50,linux,True
api-backend-1,192.167.1.55,linux,True
api-backend-lb-1,192.167.1.58,linux,True
api-bam-1,192.167.1.57,linux,True
api-bankinter-adapter-1,192.167.1.51,linux,True
api-bankinter-backend-1,10.37.1.90,linux,True
api-bankinter-backend-2,10.37.1.91,linux,True
api-bankinter-backend-lb-1,10.37.1.89,linux,True
api-bankinter-http-1,192.167.1.18,linux,True
api-callback-1,192.167.1.52,linux,True
api-cicd-1,192.167.1.46,linux,True
api-coturn-1,192.167.1.4,linux,False
api-elk-1,192.167.1.9,linux,True
api-elk-2,192.167.1.56,linux,True
api-http-1,192.167.1.2,linux,True
api-moi-1,192.167.1.19,linux,True
api-multipdf-lb-1,192.167.1.39,linux,True
api-ocr-1,192.167.1.44,linux,True
api-ocr-2,192.167.1.3,linux,True
api-ocr-3,192.167.1.35,linux,True
api-sealed-1,192.167.1.53,linux,True
api-webrtc-1,192.167.1.11,linux,True
dev-api-1,192.168.9.6,linux,True
dev-coturn-1,192.168.9.4,linux,False
dev-dns-1,192.168.9.9,linux,True
dev-services-1,192.168.9.8,linux,True
dev-services-2,192.168.9.10,linux,True
dev-webrtc-1,192.168.9.7,linux,True
lab-centos-1,10.37.1.205,linux,True
lab-master-1,192.167.1.61,linux,True
lab-node-1,192.167.1.62,linux,True
lab-node-2,192.167.1.59,linux,True
mgt-database-1,10.37.1.114,linux,True
mgt-monitor-1,10.37.1.208,linux,True
mgt-radius-1,10.37.1.76,linux,True
mgt-vfunction-1,10.37.1.212,linux,True
pro-antispoof-1,10.37.1.99,linux,True
pro-antispoof-lb-1,10.37.1.110,linux,True
pro-api-1,10.37.1.68,linux,True
pro-backend-1,10.37.1.82,linux,True
pro-backend-2,10.37.1.87,linux,True
pro-backend-3,10.37.1.88,linux,True
pro-backend-4,10.37.1.92,linux,True
pro-backend-5,10.37.1.93,linux,True
pro-backend-6,10.37.1.94,linux,True
pro-backend-7,10.37.1.206,linux,True
pro-backend-lb-1,10.37.1.85,linux,True
pro-bam-1,10.37.1.103,linux,True
pro-callback-1,10.37.1.69,linux,True
pro-callback-aena-1,10.37.1.5,linux,False
pro-configurator-1,10.37.1.98,linux,True
pro-database-1,10.37.1.115,linux,True
pro-dns-1,10.1.1.15,linux,False
pro-dns-2,10.1.1.29,linux,False
pro-http-1,10.37.1.67,linux,False
pro-innovatrix-1,10.37.1.108,linux,True
pro-innovatrix-2,10.37.1.194,linux,True
pro-innovatrix-lb-1,10.37.1.198,linux,True
pro-jump-linux-1,192.167.1.13,linux,True
pro-kurento-2,192.167.1.168,linux,True
pro-kurento-3,192.167.1.169,linux,True
pro-legacy-lb-1,10.37.1.207,linux,True
pro-monitor-1,192.167.1.6,linux,True
pro-openvidu-1,192.167.1.166,linux,True
pro-regula-lb-1,10.37.1.105,linux,True
pro-repository-1,10.37.1.197,linux,True
pro-scheduler-1,10.37.1.102,linux,True
pro-sealed-1,10.37.1.116,linux,True
pro-services-1,192.167.1.162,linux,True
pro-services-2,192.167.1.163,linux,True
pro-services-3,192.167.1.164,linux,True
pro-services-4,192.167.1.165,linux,True
pro-storage-1,10.37.1.83,linux,True
pro-storage-2,10.37.1.84,linux,True
pro-storage-lb-1,10.37.1.86,linux,True
pro-vapi-1,10.37.1.217,linux,True
pro-vapi-2,10.37.1.219,linux,True
pro-vapi-3,10.37.1.204,linux,True
pro-vapi-lb-1,10.37.1.215,linux,True
pro-vga-lb-1,10.37.1.216,linux,True
pro-webrtc-1,10.37.1.3,linux,True
